yj21b,yj6.2,yj10.2,yj13.2,yj1.1.1,yj72.18a
25.0,48.0,13122.044959002806,18000.0,2.0,2.0
28.0,40.0,11118.975998557731,8000.0,2.0,1.0
28.0,40.0,8769.554912565285,16000.0,2.0,2.0
28.0,48.0,417.8004446565215,22200.0,2.0,1.0
28.0,40.0,3390.192492127247,20000.0,2.0,3.0
28.0,40.0,12688.62888213539,18000.0,2.0,1.0
28.0,40.0,2471.0362133894423,42000.0,3.0,2.0
30.0,40.0,9418.693567569315,30000.0,1.0,2.0
14.0,48.0,14000.0,25000.0,2.0,2.0
14.0,30.0,10236.982418507792,6600.0,3.0,2.0
30.0,48.0,2253.0015789209215,40000.0,2.0,2.0
28.0,48.0,2899.3917078597615,30000.0,2.0,2.0
14.0,48.0,12085.238095866069,19000.0,2.0,1.0
26.0,40.0,4072.960793061726,20000.0,2.0,2.0
28.0,42.0,4727.825069081526,12000.0,2.0,3.0
28.0,40.0,15000.0,30000.0,2.0,2.0
24.0,40.0,9581.95940550617,14000.0,2.0,2.0
32.0,60.0,6896.412716255396,11279.589326590522,1.0,3.0
14.0,50.0,20000.0,40000.0,3.0,3.0
28.0,40.0,4300.0436005168895,14000.0,2.0,2.0
28.0,40.0,2385.993834425868,20000.0,2.0,2.0
28.0,40.0,3492.387827463933,30000.0,2.0,2.0
28.0,40.0,4214.351861989637,30000.0,3.0,3.0
28.0,40.0,8000.0,20000.0,4.0,2.0
28.0,48.0,20000.0,40000.0,2.0,2.0
21.0,40.0,10644.20156106387,13050.0,5.0,3.0
28.0,40.0,2029.7740857723888,40000.0,2.0,2.0
46.0,40.0,4086.7157302442533,11000.0,2.0,2.0
21.0,48.0,9448.01725803919,15000.0,2.0,2.0
35.0,40.0,3365.8326488992398,10000.0,1.0,2.0
21.0,40.0,8171.2599458949935,40000.0,2.0,2.0
25.0,50.0,6254.371306646378,9000.0,3.0,2.0
21.0,40.0,5000.0,30000.0,2.0,1.0
30.0,40.0,8957.989256413439,15000.0,2.0,2.0
21.0,40.0,12231.637555075204,20000.0,2.0,2.0
18.0,40.0,8159.845791416459,20000.0,2.0,2.0
19.0,50.0,2706.0528892945367,28000.0,3.0,2.0
28.0,45.0,7379.326682269724,20000.0,3.0,2.0
37.0,41.0,2332.5123758160084,37000.0,3.0,3.0
12.0,40.0,8700.0,55000.0,1.0,3.0
35.0,40.0,1715.6577014651532,13000.0,2.0,2.0
28.0,42.0,5611.803511077091,12000.0,2.0,2.0
28.0,40.0,2754.8421355665228,45000.0,2.0,2.0
42.0,35.0,1256.036658933221,22000.0,2.0,2.0
28.0,40.0,1428.9326020055983,12000.0,3.0,2.0
28.0,40.0,19229.63916857755,22000.0,5.0,3.0
28.0,48.0,12565.084345951942,13000.0,3.0,1.0
28.0,48.0,6985.535145314764,12500.0,2.0,2.0
50.0,42.0,2167.3821261004723,40000.0,2.0,3.0
27.0,38.0,6847.195096363452,20000.0,2.0,3.0
35.0,45.0,11000.0,50000.0,2.0,3.0
19.0,50.0,5900.385871180633,36401.83706522131,1.0,3.0
32.0,42.0,3686.592480730047,17876.392545947332,2.0,1.0
39.0,40.0,14344.79995463671,60000.0,1.0,2.0
28.0,40.0,4824.255375264408,40000.0,1.0,2.0
28.0,40.0,3369.2471730307757,20000.0,1.0,2.0
21.0,40.0,3968.468803358937,38000.0,2.0,1.0
37.0,48.0,18981.92324822996,20000.0,1.0,2.0
14.0,45.0,4569.311246272848,28000.0,2.0,2.0
42.0,48.0,5394.231161413568,14000.0,3.0,2.0
35.0,40.0,6218.9497292894785,30000.0,2.0,3.0
28.0,40.0,4545.5196947635795,12130.0,4.0,3.0
28.0,48.0,5307.824803805466,12130.0,2.0,2.0
28.0,40.0,5992.579471654007,30000.0,2.0,3.0
20.0,36.0,1665.907583640182,28137.280245705595,4.0,2.0
34.0,40.0,3000.0,15000.0,2.0,2.0
38.0,40.0,5000.0,30000.0,2.0,2.0
28.0,40.0,1500.0,17000.0,2.0,1.0
14.0,48.0,5405.838220251956,14000.0,2.0,1.0
36.0,40.0,10000.0,60000.0,2.0,1.0
20.0,50.0,1140.7793130764328,15000.0,3.0,2.0
32.0,40.0,2804.82207694046,25000.0,2.0,2.0
17.0,40.0,6432.705524238111,3600.0,2.0,2.0
28.0,48.0,3000.0,10500.0,2.0,2.0
28.0,40.0,10000.0,60000.0,2.0,3.0
28.0,40.0,4134.598684228202,15000.0,2.0,3.0
28.0,40.0,7361.5200826873,17000.0,2.0,2.0
14.0,40.0,15064.658050537828,30000.0,2.0,3.0
24.0,36.0,2625.5127479625517,10000.0,4.0,2.0
27.0,48.0,4669.161444357829,23000.0,2.0,2.0
36.0,40.0,3374.3112054543785,25000.0,2.0,2.0
28.0,35.0,7085.0624297515,17000.0,2.0,2.0
14.0,40.0,3098.5033417328486,18000.0,3.0,2.0
30.0,40.0,9720.564088156007,15000.0,3.0,2.0
14.0,40.0,7573.02541956648,15000.0,4.0,3.0
14.0,30.0,4371.239347185658,15000.0,4.0,2.0
16.0,42.0,2776.8723913374547,22000.0,3.0,3.0
41.0,40.0,4708.0223814392875,17000.0,3.0,2.0
42.0,48.0,5030.726348905523,25000.0,3.0,2.0
28.0,40.0,1935.3894726164417,30000.0,2.0,3.0
28.0,40.0,14377.610631774845,30000.0,2.0,3.0
36.0,40.0,4368.481785995018,34850.0,2.0,2.0
36.0,30.0,8971.318101593977,22000.0,4.0,2.0
34.0,40.0,3078.9873297018003,18188.51209185098,2.0,2.0
36.0,35.0,7924.542055741029,35000.0,2.0,3.0
43.0,36.0,9938.934836698632,35000.0,2.0,2.0
27.0,35.0,13374.997649836863,51546.083810302945,3.0,2.0
28.0,40.0,10268.059879551403,10500.0,3.0,2.0
28.0,36.0,13022.982930131642,11000.0,2.0,2.0
12.0,48.0,10456.914599972557,30000.0,3.0,2.0
28.0,40.0,1315.9099631123092,25000.0,1.0,2.0
10.0,48.0,2931.9036985532475,17000.0,3.0,2.0
14.0,40.0,5000.0,20000.0,3.0,2.0
38.0,60.0,10344.791619953323,60000.0,3.0,2.0
14.0,48.0,5652.959399780642,14500.0,2.0,2.0
42.0,37.0,1836.6405583712415,17000.0,2.0,2.0
31.0,40.0,7334.5441145471505,25000.0,2.0,3.0
42.0,40.0,10084.902971149064,50000.0,2.0,3.0
28.0,40.0,8332.457415805335,20000.0,2.0,2.0
43.0,48.0,14461.89712749272,23666.674482743645,3.0,2.0
28.0,45.0,5501.382695792202,20000.0,3.0,2.0
38.0,40.0,4766.987768251765,19037.530330183,2.0,3.0
29.0,40.0,3817.9353420472503,20652.988923131954,1.0,2.0
14.0,48.0,3100.214154604953,15000.0,2.0,3.0
32.0,48.0,14431.563279470765,15000.0,2.0,3.0
12.0,40.0,2047.3393385681811,40000.0,5.0,2.0
28.0,45.0,6604.9298192912365,25000.0,4.0,3.0
14.0,40.0,3098.3288848474417,35000.0,2.0,2.0
14.0,40.0,7698.458368020264,55000.0,3.0,3.0
