yj13.2,yj72.18a,yj6.2,yj10.2,yj21b,yj1.1.1
18000.0,1.0,48.0,5255.026994619496,28.0,2.0
28500.0,2.0,40.0,2586.548126096145,42.0,2.0
16000.0,1.0,48.0,5400.29281519868,36.0,2.0
31949.956706526133,1.0,48.0,3343.2942403266698,36.0,2.0
16000.0,1.0,48.0,12183.02016817188,26.0,2.0
10469.62996872233,3.0,32.0,10000.0,23.0,3.0
25000.0,2.0,57.0,15927.936965972918,28.0,2.0
25000.0,2.0,48.0,2023.1701993054417,32.0,2.0
23800.0,2.0,40.0,7231.833801260533,36.0,2.0
14000.0,2.0,40.0,6474.1363999614405,11.0,2.0
49706.94733123508,3.0,45.0,8991.076621298516,31.0,3.0
20000.0,3.0,48.0,9689.312938008296,14.0,3.0
16000.0,3.0,40.0,4614.361969379826,28.0,2.0
10000.0,3.0,60.0,549.8755249937383,29.0,3.0
12130.0,2.0,40.0,4557.998307859714,28.0,1.0
25000.0,2.0,40.0,6756.01709406558,36.0,2.0
30000.0,3.0,40.0,9573.404946356388,36.0,4.0
40000.0,2.0,35.0,1408.895758562635,36.0,2.0
25000.0,1.0,40.0,7374.845757182289,25.0,2.0
25000.0,2.0,48.0,8309.98116029592,36.0,2.0
50000.0,3.0,36.0,1096.5104315349097,50.0,1.0
36707.271010046075,2.0,49.0,1828.1458587545917,20.0,2.0
12635.8093135866,3.0,28.0,9196.47007719524,36.0,2.0
35000.0,3.0,30.0,6221.018574247056,50.0,2.0
9000.0,3.0,40.0,17927.777800233074,27.0,2.0
20000.0,2.0,40.0,7253.969287349862,20.0,2.0
18000.0,3.0,36.0,6586.431781978211,36.0,2.0
15000.0,2.0,36.0,2412.2842830080676,34.0,2.0
32952.43334135316,2.0,48.0,18273.897546902124,20.0,2.0
18000.0,1.0,35.0,7827.247009983592,30.0,2.0
15000.0,2.0,40.0,2662.7411466623303,37.0,3.0
40000.0,3.0,40.0,9000.0,28.0,1.0
16000.0,3.0,40.0,4358.483056236681,15.0,3.0
27000.0,3.0,40.0,5000.0,28.0,2.0
26100.0,2.0,40.0,12161.006424704528,28.0,2.0
20000.0,2.0,35.0,5219.747077906107,42.0,1.0
20000.0,2.0,48.0,2500.0,35.0,3.0
30000.0,2.0,36.0,10157.272801417075,28.0,2.0
20000.0,2.0,40.0,5253.543061321794,30.0,2.0
27000.0,3.0,42.0,10609.375746946933,44.0,1.0
20000.0,2.0,40.0,13342.17678017696,44.0,3.0
27000.0,2.0,44.0,2524.7687416098856,44.0,3.0
28000.0,1.0,52.0,3359.148441474178,33.0,1.0
25000.0,2.0,48.0,4855.4188611123145,31.0,1.0
31286.693814679264,1.0,40.0,1877.683318869499,20.0,2.0
28000.0,3.0,40.0,2032.2434972121416,48.0,5.0
30000.0,3.0,40.0,12315.083214644786,14.0,1.0
26000.0,2.0,40.0,4123.696487051874,28.0,2.0
30000.0,2.0,40.0,4694.784897620987,34.0,2.0
35000.0,1.0,50.0,5083.995250525216,28.0,4.0
22483.638562523563,3.0,40.0,3960.459220505947,25.0,3.0
38000.0,2.0,48.0,6000.0,14.0,1.0
50000.0,3.0,40.0,4324.745830783342,28.0,2.0
23000.0,2.0,48.0,6014.743309727812,28.0,4.0
15000.0,2.0,40.0,4070.843263209634,28.0,2.0
12130.0,1.0,35.0,7138.097677280887,28.0,1.0
8000.0,2.0,48.0,5556.243029138044,32.0,3.0
18000.0,2.0,45.0,15489.325387397965,28.0,2.0
23000.0,3.0,48.0,4980.04918962039,50.0,3.0
8000.0,2.0,36.0,755.6437181918229,34.0,1.0
29000.0,2.0,35.0,6839.212668360968,28.0,2.0
27000.0,2.0,48.0,2812.9766438087368,25.0,3.0
20000.0,3.0,48.0,4276.55402229512,42.0,3.0
18000.0,2.0,48.0,2049.7596568790063,28.0,4.0
24655.683191653083,2.0,40.0,5192.986688149712,31.0,2.0
33092.11370348149,2.0,48.0,932.608100784492,21.0,2.0
27508.072469411345,3.0,40.0,3683.4980953329887,29.0,1.0
25000.0,3.0,40.0,10000.0,28.0,2.0
20000.0,3.0,40.0,7288.230945386806,28.0,3.0
20000.0,3.0,40.0,16598.60871305494,28.0,2.0
50000.0,3.0,40.0,6621.1638601866,16.0,2.0
25000.0,2.0,56.0,2972.633928588983,21.0,1.0
11000.0,2.0,40.0,1419.542147571104,25.0,3.0
15000.0,2.0,36.0,6315.913791892396,28.0,2.0
10500.0,2.0,48.0,3221.951649727419,28.0,3.0
10000.0,2.0,55.0,4572.496420485631,28.0,3.0
28000.0,2.0,40.0,5000.0,28.0,2.0
23000.0,3.0,40.0,9410.350919467624,30.0,2.0
32000.0,2.0,40.0,2956.0572660628104,28.0,1.0
50636.35300164111,1.0,40.0,1500.0,18.0,3.0
30527.35414531749,2.0,48.0,4243.813380838828,23.0,2.0
16000.0,2.0,40.0,4578.411689697526,28.0,2.0
19000.0,2.0,48.0,2982.250659971761,28.0,2.0
23000.0,3.0,35.0,6152.9448922157,28.0,2.0
13000.0,2.0,36.0,2485.1520983820997,28.0,2.0
18000.0,2.0,48.0,13122.044959002806,25.0,2.0
8000.0,1.0,40.0,11118.975998557731,28.0,2.0
16000.0,2.0,40.0,8769.554912565285,28.0,2.0
22200.0,1.0,48.0,417.8004446565215,28.0,2.0
20000.0,3.0,40.0,3390.192492127247,28.0,2.0
18000.0,1.0,40.0,12688.62888213539,28.0,2.0
42000.0,2.0,40.0,2471.0362133894423,28.0,3.0
30000.0,2.0,40.0,9418.693567569317,30.0,1.0
25000.0,2.0,48.0,14000.0,14.0,2.0
6600.0,2.0,30.0,10236.982418507792,14.0,3.0
40000.0,2.0,48.0,2253.0015789209215,30.0,2.0
30000.0,2.0,48.0,2899.3917078597615,28.0,2.0
19000.0,1.0,48.0,12085.238095866069,14.0,2.0
20000.0,2.0,40.0,4072.960793061726,26.0,2.0
12000.0,3.0,42.0,4727.825069081526,28.0,2.0
30000.0,2.0,40.0,15000.0,28.0,2.0
14000.0,2.0,40.0,9581.95940550617,24.0,2.0
11279.589326590522,3.0,60.0,6896.412716255396,32.0,1.0
40000.0,3.0,50.0,20000.0,14.0,3.0
14000.0,2.0,40.0,4300.0436005168895,28.0,2.0
20000.0,2.0,40.0,2385.993834425868,28.0,2.0
30000.0,2.0,40.0,3492.387827463933,28.0,2.0
30000.0,3.0,40.0,4214.351861989637,28.0,3.0
20000.0,2.0,40.0,8000.0,28.0,4.0
40000.0,2.0,48.0,20000.0,28.0,2.0
13050.0,3.0,40.0,10644.20156106387,21.0,5.0
40000.0,2.0,40.0,2029.7740857723888,28.0,2.0
11000.0,2.0,40.0,4086.715730244254,46.0,2.0
15000.0,2.0,48.0,9448.01725803919,21.0,2.0
10000.0,2.0,40.0,3365.83264889924,35.0,1.0
40000.0,2.0,40.0,8171.2599458949935,21.0,2.0
9000.0,2.0,50.0,6254.371306646378,25.0,3.0
30000.0,1.0,40.0,5000.0,21.0,2.0
15000.0,2.0,40.0,8957.989256413439,30.0,2.0
20000.0,2.0,40.0,12231.637555075204,21.0,2.0
20000.0,2.0,40.0,8159.845791416459,18.0,2.0
28000.0,2.0,50.0,2706.0528892945367,19.0,3.0
20000.0,2.0,45.0,7379.326682269724,28.0,3.0
37000.0,3.0,41.0,2332.5123758160084,37.0,3.0
55000.0,3.0,40.0,8700.0,12.0,1.0
13000.0,2.0,40.0,1715.6577014651532,35.0,2.0
12000.0,2.0,42.0,5611.803511077091,28.0,2.0
45000.0,2.0,40.0,2754.8421355665228,28.0,2.0
22000.0,2.0,35.0,1256.036658933221,42.0,2.0
12000.0,2.0,40.0,1428.9326020055985,28.0,3.0
22000.0,3.0,40.0,19229.63916857755,28.0,5.0
13000.0,1.0,48.0,12565.084345951942,28.0,3.0
12500.0,2.0,48.0,6985.535145314764,28.0,2.0
40000.0,3.0,42.0,2167.3821261004723,50.0,2.0
20000.0,3.0,38.0,6847.195096363452,27.0,2.0
50000.0,3.0,45.0,11000.0,35.0,2.0
36401.83706522131,3.0,50.0,5900.385871180633,19.0,1.0
17876.392545947332,1.0,42.0,3686.592480730047,32.0,2.0
60000.0,2.0,40.0,14344.79995463671,39.0,1.0
40000.0,2.0,40.0,4824.255375264408,28.0,1.0
20000.0,2.0,40.0,3369.2471730307757,28.0,1.0
38000.0,1.0,40.0,3968.468803358937,21.0,2.0
20000.0,2.0,48.0,18981.92324822996,37.0,1.0
28000.0,2.0,45.0,4569.311246272848,14.0,2.0
14000.0,2.0,48.0,5394.231161413568,42.0,3.0
30000.0,3.0,40.0,6218.9497292894785,35.0,2.0
12130.0,3.0,40.0,4545.5196947635795,28.0,4.0
12130.0,2.0,48.0,5307.824803805466,28.0,2.0
30000.0,3.0,40.0,5992.579471654007,28.0,2.0
28137.280245705595,2.0,36.0,1665.907583640182,20.0,4.0
15000.0,2.0,40.0,3000.0,34.0,2.0
30000.0,2.0,40.0,5000.0,38.0,2.0
17000.0,1.0,40.0,1500.0,28.0,2.0
14000.0,1.0,48.0,5405.838220251956,14.0,2.0
60000.0,1.0,40.0,10000.0,36.0,2.0
15000.0,2.0,50.0,1140.7793130764328,20.0,3.0
25000.0,2.0,40.0,2804.82207694046,32.0,2.0
3600.0,2.0,40.0,6432.705524238111,17.0,2.0
10500.0,2.0,48.0,3000.0,28.0,2.0
60000.0,3.0,40.0,10000.0,28.0,2.0
15000.0,3.0,40.0,4134.598684228202,28.0,2.0
17000.0,2.0,40.0,7361.5200826873,28.0,2.0
30000.0,3.0,40.0,15064.658050537828,14.0,2.0
10000.0,2.0,36.0,2625.5127479625517,24.0,4.0
23000.0,2.0,48.0,4669.161444357829,27.0,2.0
25000.0,2.0,40.0,3374.3112054543785,36.0,2.0
17000.0,2.0,35.0,7085.0624297515,28.0,2.0
18000.0,2.0,40.0,3098.5033417328486,14.0,3.0
15000.0,2.0,40.0,9720.564088156008,30.0,3.0
15000.0,3.0,40.0,7573.02541956648,14.0,4.0
15000.0,2.0,30.0,4371.239347185658,14.0,4.0
22000.0,3.0,42.0,2776.8723913374547,16.0,3.0
17000.0,2.0,40.0,4708.0223814392875,41.0,3.0
25000.0,2.0,48.0,5030.726348905523,42.0,3.0
30000.0,3.0,40.0,1935.3894726164417,28.0,2.0
30000.0,3.0,40.0,14377.610631774844,28.0,2.0
34850.0,2.0,40.0,4368.481785995018,36.0,2.0
22000.0,2.0,30.0,8971.318101593977,36.0,4.0
18188.51209185098,2.0,40.0,3078.9873297018003,34.0,2.0
35000.0,3.0,35.0,7924.542055741029,36.0,2.0
35000.0,2.0,36.0,9938.934836698632,43.0,2.0
51546.083810302945,2.0,35.0,13374.997649836863,27.0,3.0
10500.0,2.0,40.0,10268.059879551403,28.0,3.0
11000.0,2.0,36.0,13022.982930131642,28.0,2.0
30000.0,2.0,48.0,10456.914599972555,12.0,3.0
25000.0,2.0,40.0,1315.9099631123092,28.0,1.0
17000.0,2.0,48.0,2931.9036985532475,10.0,3.0
20000.0,2.0,40.0,5000.0,14.0,3.0
60000.0,2.0,60.0,10344.791619953325,38.0,3.0
14500.0,2.0,48.0,5652.959399780642,14.0,2.0
17000.0,2.0,37.0,1836.6405583712417,42.0,2.0
25000.0,3.0,40.0,7334.5441145471505,31.0,2.0
50000.0,3.0,40.0,10084.902971149064,42.0,2.0
20000.0,2.0,40.0,8332.457415805335,28.0,2.0
23666.674482743645,2.0,48.0,14461.89712749272,43.0,3.0
20000.0,2.0,45.0,5501.382695792202,28.0,3.0
19037.530330183,3.0,40.0,4766.987768251765,38.0,2.0
20652.98892313195,2.0,40.0,3817.9353420472503,29.0,1.0
15000.0,3.0,48.0,3100.214154604953,14.0,2.0
15000.0,3.0,48.0,14431.563279470764,32.0,2.0
40000.0,2.0,40.0,2047.3393385681811,12.0,5.0
25000.0,3.0,45.0,6604.9298192912365,28.0,4.0
35000.0,2.0,40.0,3098.3288848474417,14.0,2.0
55000.0,3.0,40.0,7698.458368020264,14.0,3.0
18000.0,2.0,40.0,2558.6380940091185,36.0,2.0
19000.0,3.0,40.0,6652.93764539369,23.0,2.0
40000.0,2.0,40.0,9105.702675329232,32.0,2.0
23000.0,1.0,40.0,1799.3528022048238,19.0,2.0
14000.0,2.0,50.0,5523.236496629165,28.0,3.0
35338.13974354088,2.0,30.0,2416.845426652107,24.0,3.0
40000.0,2.0,40.0,15000.0,28.0,3.0
18000.0,2.0,36.0,4000.0,28.0,2.0
22000.0,1.0,36.0,6000.0,28.0,3.0
40000.0,2.0,40.0,10000.0,45.0,2.0
15000.0,2.0,40.0,7162.820928996856,24.0,3.0
20000.0,2.0,40.0,5000.0,24.0,3.0
10500.0,2.0,40.0,2126.153005464226,14.0,3.0
18000.0,3.0,36.0,5548.502416828294,26.0,2.0
16000.0,2.0,40.0,15778.045606807318,28.0,2.0
17000.0,2.0,41.0,2461.224969895088,28.0,2.0
30000.0,2.0,45.0,2038.8312955885765,17.0,4.0
43615.986364521246,2.0,40.0,7505.705924801463,35.0,3.0
40000.0,3.0,40.0,1316.8372786546906,31.0,2.0
18000.0,2.0,40.0,3412.4179758541477,28.0,2.0
15000.0,2.0,60.0,12314.267092639344,33.0,3.0
21000.0,3.0,40.0,1892.3565532773289,14.0,2.0
40000.0,3.0,40.0,4218.383302714183,28.0,2.0
20000.0,3.0,40.0,6848.206857434069,21.0,2.0
24000.0,2.0,40.0,1863.848474781576,28.0,2.0
21000.0,2.0,40.0,4054.6776418621976,28.0,2.0
13000.0,3.0,48.0,3501.4691400656147,30.0,2.0
20043.91915775378,3.0,36.0,2982.6033398939467,29.0,2.0
22000.0,1.0,48.0,3836.826637686239,36.0,2.0
12500.0,3.0,40.0,6087.834560385193,18.0,1.0
35000.0,3.0,35.0,17256.7375917647,28.0,3.0
28000.0,2.0,40.0,3469.4334012734375,36.0,2.0
12000.0,2.0,40.0,755.3543379956103,28.0,3.0
18000.0,2.0,36.0,5600.0,30.0,2.0
20000.0,2.0,40.0,4470.449512740472,28.0,2.0
32000.0,2.0,48.0,2321.605396458895,36.0,4.0
20000.0,2.0,50.0,18000.0,21.0,2.0
35000.0,2.0,40.0,4008.21698553909,28.0,3.0
15308.802580705602,2.0,40.0,1470.455121593612,33.0,2.0
25000.0,2.0,40.0,7226.040078348319,28.0,1.0
60000.0,3.0,40.0,3841.468885797888,28.0,2.0
25000.0,3.0,40.0,7381.354950167512,14.0,3.0
12604.614342243947,3.0,30.0,7452.675385705523,38.0,2.0
12000.0,2.0,54.0,7055.413316736102,28.0,2.0
22000.0,2.0,40.0,9108.417656322645,28.0,2.0
13000.0,2.0,40.0,7232.229004213932,28.0,2.0
52896.03040333417,2.0,50.0,2153.8171204859327,24.0,3.0
17000.0,2.0,48.0,9621.424781314474,14.0,3.0
20000.0,3.0,40.0,5000.0,28.0,3.0
12400.0,2.0,48.0,5124.591879233304,28.0,3.0
18000.0,2.0,42.0,2211.0650463152083,36.0,2.0
15000.0,3.0,40.0,5749.023797607606,42.0,2.0
20000.0,2.0,40.0,5633.760504382954,33.0,2.0
20000.0,2.0,48.0,5516.056064924914,14.0,2.0
50000.0,3.0,40.0,3872.9173742301514,21.0,2.0
15383.909038931111,2.0,50.0,13909.033425950123,36.0,3.0
9248.577165772062,2.0,60.0,2567.953815377054,12.0,2.0
38000.0,1.0,45.0,18000.0,28.0,4.0
23000.0,2.0,48.0,5155.402290588214,21.0,2.0
40000.0,2.0,48.0,4356.339839112221,20.0,2.0
15000.0,2.0,40.0,2385.1957008118866,36.0,1.0
25000.0,2.0,40.0,8402.308236695048,36.0,2.0
25000.0,3.0,45.0,6084.63164882718,15.0,2.0
14000.0,2.0,40.0,7801.10193095021,28.0,2.0
20000.0,1.0,40.0,6330.202118818826,28.0,3.0
30000.0,3.0,40.0,13796.703919574366,28.0,1.0
50000.0,2.0,40.0,15000.0,38.0,2.0
28000.0,3.0,48.0,1501.1109598010712,28.0,3.0
17000.0,3.0,40.0,8693.84865112437,42.0,1.0
30000.0,2.0,40.0,13907.03870857696,28.0,1.0
60000.0,3.0,48.0,1058.083145395046,20.0,1.0
29563.577590559995,2.0,40.0,3150.377833493638,37.0,3.0
30000.0,2.0,40.0,5094.381772017374,21.0,3.0
24000.0,2.0,40.0,10673.670794997455,24.0,2.0
35000.0,3.0,40.0,10310.53779082622,14.0,2.0
30000.0,2.0,40.0,13784.529559185432,21.0,2.0
30800.0,2.0,44.0,20000.0,28.0,2.0
40000.0,2.0,40.0,13666.586026692,30.0,3.0
34927.51625532699,3.0,40.0,7924.7583877430525,35.0,2.0
20000.0,3.0,40.0,8043.726534425528,28.0,2.0
12500.0,2.0,40.0,8405.80670826074,28.0,1.0
35000.0,3.0,40.0,1461.00715414651,32.0,1.0
10500.0,3.0,28.0,4849.359972660557,28.0,2.0
34600.0,3.0,40.0,2048.8179540567007,30.0,1.0
10000.0,1.0,40.0,3758.2751127751167,48.0,3.0
25000.0,2.0,48.0,11483.317510418588,27.0,3.0
27000.0,2.0,40.0,11134.449849668366,21.0,2.0
25000.0,3.0,40.0,4226.449506084215,32.0,2.0
25000.0,2.0,35.0,6011.788613195411,46.0,2.0
12000.0,2.0,30.0,3453.8750853836195,36.0,2.0
30000.0,2.0,40.0,10745.331073873002,24.0,4.0
60000.0,3.0,35.0,5817.9631940743575,50.0,3.0
25000.0,3.0,40.0,2855.750297331038,28.0,2.0
30000.0,2.0,40.0,2508.8155087655277,30.0,2.0
20000.0,2.0,40.0,2268.0569913892377,27.0,4.0
50000.0,2.0,60.0,10012.901918828971,35.0,2.0
25000.0,3.0,42.0,9719.213956986252,40.0,2.0
30000.0,1.0,42.0,682.3061882131656,14.0,2.0
25000.0,2.0,40.0,10965.309269749176,25.0,2.0
15000.0,2.0,40.0,5247.361792802262,25.0,2.0
15000.0,3.0,48.0,1000.0,36.0,1.0
30000.0,2.0,40.0,7560.001824369497,28.0,3.0
11000.0,2.0,40.0,4214.888721506141,49.0,2.0
18000.0,2.0,36.0,2060.693570348275,36.0,2.0
16000.0,2.0,40.0,1939.281025482064,17.0,3.0
14000.0,2.0,37.0,2619.89377928135,18.0,3.0
18600.0,1.0,44.0,8384.462916455584,22.0,3.0
34765.153043161175,1.0,60.0,7727.59920789768,31.0,5.0
67000.0,3.0,40.0,3654.3616992234142,30.0,1.0
35000.0,3.0,48.0,1520.9566830447177,28.0,2.0
22000.0,2.0,36.0,10143.260453564197,28.0,1.0
23693.95905755208,2.0,48.0,4744.778825542349,19.0,2.0
