yj21b,yj6.2,yj10.2,yj13.2,yj1.1.1,yj72.18a
29.0,60.0,8877.708535420725,50000.0,1.0,3.0
14.0,48.0,3528.4120780375683,16000.0,4.0,2.0
14.0,48.0,3532.0636502908337,10000.0,2.0,2.0
23.0,48.0,1321.7047023648995,20000.0,2.0,1.0
36.0,30.0,7768.936217098863,18000.0,2.0,2.0
35.0,32.0,2708.57962924652,27000.0,2.0,3.0
20.0,40.0,1909.9835580520942,14500.0,2.0,2.0
28.0,40.0,1173.0582364948227,17000.0,2.0,2.0
30.0,40.0,2762.364643396897,20000.0,2.0,3.0
14.0,36.0,8312.759862358384,24000.0,2.0,2.0
27.0,45.0,5674.843950965739,40000.0,2.0,3.0
30.0,30.0,5366.405499839296,22000.0,2.0,2.0
32.0,48.0,5589.204451792059,19000.0,3.0,2.0
42.0,30.0,10894.628334261557,14463.327519675908,2.0,2.0
27.0,40.0,3784.1219413776416,17896.55695083416,2.0,2.0
40.0,30.0,3343.6944551924375,18049.509961808813,3.0,2.0
28.0,30.0,2688.2617754959433,9000.0,3.0,2.0
28.0,45.0,1559.4547221740524,35000.0,2.0,3.0
14.0,48.0,14192.884403769542,35000.0,2.0,2.0
29.0,48.0,1520.596294082782,25000.0,2.0,3.0
42.0,40.0,3780.342631475155,20000.0,5.0,2.0
27.0,40.0,4367.412971630935,23000.0,4.0,2.0
28.0,40.0,4965.093395026718,20000.0,2.0,3.0
28.0,40.0,5411.358236686135,50000.0,2.0,3.0
29.0,40.0,2412.3291909715776,21000.0,2.0,3.0
28.0,36.0,4499.4634618204245,12000.0,2.0,2.0
28.0,40.0,17213.98314828895,30625.0,1.0,3.0
28.0,40.0,1704.1994209574625,25000.0,2.0,1.0
28.0,40.0,5000.0,60000.0,1.0,3.0
14.0,40.0,4429.368579073362,23000.0,2.0,2.0
28.0,48.0,6238.898292847555,30000.0,2.0,2.0
32.0,48.0,5194.093854089354,15000.0,2.0,2.0
28.0,48.0,4123.766861204464,24000.0,2.0,2.0
31.0,40.0,1479.9012874083737,51082.34615818589,2.0,3.0
16.0,48.0,1293.4906033194602,33986.985970322145,2.0,2.0
30.0,48.0,929.6189192777155,15000.0,3.0,2.0
30.0,36.0,1035.2559950841269,17000.0,3.0,2.0
39.0,40.0,2228.618468484415,15000.0,4.0,2.0
30.0,40.0,5124.673882586225,11000.0,3.0,2.0
21.0,40.0,11498.85239837977,17000.0,2.0,2.0
32.0,45.0,15497.694736427165,17000.0,3.0,2.0
37.0,45.0,4933.575640517063,25000.0,2.0,2.0
26.0,42.0,8605.030698540058,20000.0,2.0,2.0
28.0,40.0,8000.0,22000.0,2.0,2.0
26.0,40.0,3658.5615892388323,25000.0,3.0,2.0
14.0,48.0,3717.697194962932,10000.0,4.0,2.0
28.0,40.0,16483.259913291968,30000.0,1.0,2.0
28.0,40.0,7293.987633623024,40000.0,1.0,2.0
9.0,60.0,4077.7773611808725,50000.0,1.0,2.0
38.0,40.0,3907.6274910995858,10000.0,3.0,1.0
15.0,40.0,3124.9766322790183,30000.0,2.0,2.0
32.0,48.0,5522.1935488263725,10000.0,2.0,1.0
28.0,40.0,15119.0879332606,15000.0,3.0,2.0
28.0,36.0,1427.7317209074754,10000.0,5.0,2.0
28.0,40.0,4790.972505782006,10000.0,4.0,2.0
28.0,48.0,6612.567765021482,10700.0,3.0,2.0
28.0,40.0,9027.707090563235,15000.0,2.0,2.0
31.0,60.0,7052.4319216405065,24000.0,4.0,3.0
28.0,40.0,3384.4481354110726,40000.0,2.0,3.0
51.0,40.0,7314.317531813476,14000.0,3.0,2.0
32.0,40.0,3700.0,24000.0,2.0,2.0
18.0,40.0,1900.0,27000.0,2.0,3.0
28.0,36.0,7469.378393825107,17000.0,2.0,2.0
33.0,41.0,5177.561755690672,19050.944125597685,2.0,1.0
36.0,40.0,1787.2370544355374,19278.13757853428,4.0,2.0
28.0,45.0,4488.213053371172,30000.0,2.0,2.0
33.0,40.0,2817.540611308198,18000.0,2.0,2.0
18.0,48.0,7219.726368316012,15000.0,2.0,3.0
36.0,60.0,12623.399256225593,20000.0,3.0,1.0
43.0,40.0,2412.9875983643055,42000.0,1.0,2.0
22.0,40.0,14142.617079588863,25000.0,1.0,1.0
36.0,45.0,7116.643434828587,23000.0,2.0,2.0
23.0,40.0,4737.471526368217,21349.25482735809,2.0,2.0
28.0,48.0,3086.6328987935526,12500.0,3.0,2.0
30.0,48.0,4174.168478087249,30000.0,2.0,2.0
23.0,48.0,5561.843702062274,30000.0,2.0,2.0
30.0,40.0,5602.7388014841545,17000.0,3.0,3.0
28.0,40.0,1384.4680035097144,19000.0,2.0,1.0
28.0,60.0,14661.410234246974,28800.0,2.0,3.0
38.0,40.0,1436.9072689245052,15392.873712027358,3.0,2.0
28.0,40.0,9655.137325256597,25000.0,2.0,2.0
48.0,48.0,1580.6226775720268,32000.0,3.0,3.0
48.0,50.0,2987.1084236208917,25000.0,2.0,3.0
42.0,48.0,14479.100676688935,36000.0,3.0,2.0
28.0,60.0,3000.0,25000.0,4.0,2.0
48.0,36.0,4902.751801264371,20000.0,2.0,3.0
14.0,40.0,1330.7207684062632,25000.0,2.0,3.0
25.0,40.0,3884.2030488254504,32000.0,2.0,3.0
28.0,40.0,11020.721946088965,25000.0,3.0,2.0
28.0,40.0,1700.1225303757094,21000.0,2.0,2.0
28.0,40.0,5198.443542408595,25000.0,2.0,2.0
43.0,40.0,2516.554550373373,32544.35516780674,2.0,2.0
42.0,28.0,1054.8370232544646,20000.0,2.0,2.0
28.0,48.0,2524.218941404848,25000.0,4.0,3.0
25.0,40.0,1406.6674096842562,16000.0,2.0,2.0
28.0,40.0,5443.2903174426665,10500.0,3.0,2.0
28.0,40.0,1953.7981717998584,27000.0,3.0,3.0
28.0,40.0,15108.153002430246,30000.0,2.0,3.0
16.0,40.0,5570.236888883852,40000.0,2.0,3.0
18.0,36.0,6986.183264684171,13000.0,3.0,2.0
24.0,60.0,10019.604487586725,40000.0,2.0,2.0
28.0,41.0,3956.5784032888773,10000.0,3.0,1.0
40.0,48.0,3644.269669883544,6000.0,3.0,3.0
43.0,48.0,1788.149527541509,31630.15431926346,4.0,2.0
36.0,48.0,4890.383717453913,45000.0,2.0,2.0
34.0,48.0,3018.324393169701,23000.0,2.0,1.0
48.0,48.0,3052.9358966233044,23000.0,1.0,2.0
36.0,40.0,3727.0660639607213,13400.0,2.0,3.0
36.0,48.0,6824.183524607596,30000.0,2.0,3.0
33.0,48.0,3992.5698503404424,18000.0,2.0,3.0
23.0,48.0,10827.464465648125,18000.0,2.0,1.0
42.0,40.0,5605.727548477028,28500.0,2.0,2.0
26.0,48.0,1050.7244926893234,16000.0,2.0,1.0
24.0,48.0,5166.086094148516,65563.3795580065,2.0,1.0
16.0,48.0,5710.816433626417,16000.0,2.0,1.0
27.0,32.0,10000.0,22170.382906739276,3.0,3.0
28.0,57.0,6529.025598474243,25000.0,2.0,2.0
32.0,48.0,5362.2913501764515,25000.0,2.0,2.0
36.0,40.0,7668.067390642769,23800.0,2.0,2.0
19.0,40.0,6897.10988209712,14000.0,2.0,2.0
28.0,45.0,4621.985149617534,31435.15461783108,3.0,3.0
14.0,48.0,6813.955684173502,20000.0,3.0,3.0
28.0,40.0,7026.047386420785,16000.0,2.0,3.0
30.0,60.0,2133.011958708163,10000.0,3.0,3.0
28.0,40.0,3704.6303737470585,12130.0,1.0,2.0
36.0,40.0,18689.677520745863,25000.0,2.0,2.0
36.0,40.0,3874.7515230356794,30000.0,4.0,3.0
36.0,35.0,3284.2480262654008,40000.0,2.0,2.0
25.0,40.0,15954.216602882201,25000.0,2.0,1.0
36.0,48.0,2658.655174809209,25000.0,2.0,2.0
50.0,36.0,1857.7215465342538,50000.0,1.0,3.0
41.0,49.0,3899.6649997201444,18768.359586763767,2.0,2.0
37.0,28.0,3020.8152042826587,23246.586067094504,2.0,3.0
